POLICY_CODE,OS_NB_CODE,OS_CODE,INPUTOUTPUT,POLICY,SUBPOLICY,INDICATOR_CODE,SUBPOLICY_CODE,JAF_KEY,NBMAIN,IFMAIN,NBCOUNTRY,IFCOUNTRY,NBCOMPEDIUM,COMPENDIUMID,IFCOMPEDIUM,INDICATOR_FULL,INDICATOR_EXPLANATION,INDICATOR_TABLE,INDICATOR_CHART,LINKDOC,LINKDOC_OLE,REFYEAR,REFERNECPOINT,GENSENSE,SENSEWITHMAIN,UNITLONG,UNITSHORT,UNITCHANGE,IF_CALCULATION,CALCULATION,CHANGE_CALCUL,SOURCE,LAGGED _REFERENCE YEAR,DIFFER _REFERENCE COUNTRY,FOOTNOTE_MAIN,IFPOPWEIGHT,SILC_INCOME,DECIMALX,CLEANING,PROVIDER data,EMPL calcul,table,standard,cond1,cond2,cond3,cond4,cond5,cond6,comments,output_file,formula_engine,formula,factor1,factor2,factor3,factor4,factor5,factor6,factor7,factor8,factor9,factor10,factor11,factor12,factor13,factor14,IND_CODE
PA11,O1,Overall,Output,"Preventing poverty and social exclusion through inclusive labour markets, adequate and sustainable social protection and high quality services","Preventing poverty and social exclusion through inclusive labour markets, adequate and sustainable social protection and high quality services",PA11.O1,,PA11.O1.,11,Main,1,country,1,1,compendium,People at-risk-of poverty or social exclusion - total,,People at-risk-of poverty or exclusion,At-risk of poverty & soc. exclus. (total popn),People at risk of poverty or exclusion,,,,-,,% (of total popn),%,pp,no,,-3,"Eurostat, EU Statistics on Income and Living Conditions",,,,,yes,1,,,,ilc_peps01n,Y,sex=T,unit=PC,age=TOTAL,,,,,,,,,,,,,,,,,,,,,,PA11.O1.
PA11,O1,Overall,Output,,,PA11.O1,M,PA11.O1.M,,,2,country,2,1,compendium,People at-risk-of poverty or social exclusion - men,,People at-risk-of poverty or social exclusion - men,People at-risk-of poverty or social exclusion - men,,,,,-,,% (of total popn),%,pp,no,,-3,"Eurostat, EU Statistics on Income and Living Conditions",,,,,yes,1,,,,ilc_peps01n,Y,sex=M,unit=PC,age=TOTAL,,,,,,,,,,,,,,,,,,,,,,PA11.O1.M
PA11,O1,Overall,Output,,,PA11.O1,F,PA11.O1.F,,,3,country,3,1,compendium,People at-risk-of poverty or social exclusion - women,,People at-risk-of poverty or social exclusion - women,People at-risk-of poverty or social exclusion - women,,,,,-,,% (of total popn),%,pp,no,,-3,"Eurostat, EU Statistics on Income and Living Conditions",,,,,yes,1,,,,ilc_peps01n,Y,sex=F,unit=PC,age=TOTAL,,,,,,,,,,,,,,,,,,,,,,PA11.O1.F
PA11,S1,Subindicator,Output,,,PA11.S1,,PA11.S1.,11a,Main,4,country,4,1,compendium,At-risk-of poverty rate (60% of median income) - total,,At-risk of poverty rate for total population,At-risk of poverty rate (T),At risk of poverty rate (60% of median income) (+ value of threshold (in PPP)),,,,-,+,% (of total popn),%,pp,no,,-3,"Eurostat, EU Statistics on Income and Living Conditions",,,,,yes,1,,,,ilc_li02,Y,sex=T,unit=PC,indic_il=LI_R_MD60,age=TOTAL,,,,,,,,,,,,,,,,,,,,,PA11.S1.
PA11,S1,Subindicator,Output,,,PA11.S1,M,PA11.S1.M,,,5,country,5,1,compendium,At-risk-of poverty rate (60% of median income) - men,,At-risk-of poverty rate (60% of median income) - men,At-risk-of poverty rate (60% of median income) - men,,,,,-,,% (of total popn),%,pp,no,,-3,"Eurostat, EU Statistics on Income and Living Conditions",,,,,yes,1,,,,ilc_li02,Y,sex=M,unit=PC,indic_il=LI_R_MD60,age=TOTAL,,,,,,,,,,,,,,,,,,,,,PA11.S1.M
PA11,S1,Subindicator,Output,,,PA11.S1,F,PA11.S1.F,,,6,country,6,1,compendium,At-risk-of poverty rate (60% of median income) - women,,At-risk-of poverty rate (60% of median income) - women,At-risk-of poverty rate (60% of median income) - women,,,,,-,,% (of total popn),%,pp,no,,-3,"Eurostat, EU Statistics on Income and Living Conditions",,,,,yes,1,,,,ilc_li02,Y,sex=F,unit=PC,indic_il=LI_R_MD60,age=TOTAL,,,,,,,,,,,,,,,,,,,,,PA11.S1.F
PA11,S3,Subindicator,Output,,,PA11.S3,T,PA11.S3.T,11c,Main,7,country,7,1,compendium,People (aged 0-64) living in (quasi-)jobless households – total,(People living in households with very low work intensity),People (aged 0-64) living in (quasi-)jobless households – total,People (aged 0-64) living in (quasi-)jobless households – total,People (aged 0-64) living in (quasi-)jobless households – total,,,,-,+,% (of total popn),%,pp,no,,-3,"Eurostat, EU Statistics on Income and Living Conditions",,,,,,1,,,,ilc_lvhl11n,Y,sex=T,unit=PC,age=Y_LT65,,,,,,,,,,,,,,,,,,,,,,PA11.S3.T
PA11,S3,Subindicator,Output,,,PA11.S3,M,PA11.S3.M,,,8,country,8,1,compendium,People (aged 0-64) living in (quasi-)jobless households - men,People (aged 0-64) living in (quasi-)jobless households - men,People (aged 0-64) living in (quasi-)jobless households - men,People (aged 0-64) living in (quasi-)jobless households - men,People (aged 0-64) living in (quasi-)jobless households - men,,,,-,+,% (of male popn),%,pp,no,,-3,"Eurostat, EU Statistics on Income and Living Conditions",,,,,,1,,,,ilc_lvhl11n,Y,sex=M,unit=PC,age=Y_LT65,,,,,,,,,,,,,,,,,,,,,,PA11.S3.M
PA11,S3,Subindicator,Output,,,PA11.S3,F,PA11.S3.F,,,9,country,9,1,compendium,People (aged 0-64) living in (quasi-)jobless households – women) ),People (aged 0-64) living in (quasi-)jobless households – women) ),People (aged 0-64) living in (quasi-)jobless households – women) ),People (aged 0-64) living in (quasi-)jobless households – women) ),People (aged 0-64) living in (quasi-)jobless households – women) ),,,,-,+,% (of female popn),%,pp,no,,-3,"Eurostat, EU Statistics on Income and Living Conditions",,,,,,1,,,,ilc_lvhl11n,Y,sex=F,unit=PC,age=Y_LT65,,,,,,,,,,,,,,,,,,,,,,PA11.S3.F
PA11,S2,Subindicator,Output,,,PA11.S2,,PA11.S2.,11b,Main,10,country,10,1,compendium,Severe material and social deprivation rate (7+ items) – total,,Severe material and social deprivation rate (7+ items) – total,Severe material deprivation rate (7+ items) – total,,,,,-,+,% (of total popn),%,pp,no,,-3,"Eurostat, EU Statistics on Income and Living Conditions",1.0,,,,,1,,,,ilc_mdsd11,Y,sex=T,unit=PC,age=TOTAL,,,,,,,,,,,,,,,,,,,,,,PA11.S2.
PA11,S2,Subindicator,Output,,,PA11.S2,M,PA11.S2.M,,,11,country,11,1,compendium,Severe material and social deprivation rate (7+ items) - men,,Severe material and social deprivation rate (7+ items) - men,Severe material and social deprivation rate (7+ items) - men,,,,,-,,% (of total popn),%,pp,no,,-3,"Eurostat, EU Statistics on Income and Living Conditions",,,,,,1,,,,ilc_mdsd11,Y,sex=M,unit=PC,age=TOTAL,,,,,,,,,,,,,,,,,,,,,,PA11.S2.M
PA11,S2,Subindicator,Output,,,PA11.S2,F,PA11.S2.F,,,12,country,12,1,compendium,Severe material and social deprivation rate (7+ items) - women,,Severe material and social deprivation rate (7+ items) - women,Severe material and social deprivation rate (7+ items) - women,,,,,-,,% (of total popn),%,pp,no,,-3,"Eurostat, EU Statistics on Income and Living Conditions",,,,,,1,,,,ilc_mdsd11,Y,sex=F,unit=PC,age=TOTAL,,,,,,,,,,,,,,,,,,,,,,PA11.S2.F
PA11a,O1,Overall,Output,"Preventing poverty and social exclusion through inclusive labour markets, adequate and sustainable social protection and high quality services",Breaking the intergenerational transmission of poverty â€“ tackling child poverty,PA11a.O1,,PA11a.O1.,11i,Main,13,country,13,1,compendium,Children at-risk-of poverty or social exclusion (aged 0-17),,At-risk of poverty and soc. exclus. (0-17),At-risk of poverty & soc. exclus. children (0-17),Children at-risk-of poverty or exclusion (0-17),,,,-,,% (of popn 0-17),%,pp,no,,-3,"Eurostat, EU Statistics on Income and Living Conditions",,,,,yes,1,,,,ilc_peps01n,Y,sex=T,unit=PC,age=Y_LT18,,,,,,,,,,,,,,,,,,,,,,PA11a.O1.
PA11a,S1,Subindicator,Output,,,PA11a.S1,,PA11a.S1.,,,14,country,14,1,compendium,At-risk-of poverty rate of children (aged 0-17),,At-risk of poverty rate for children total (0-17),At-risk of poverty rate (0-17),At risk of poverty rate of children (0-17),,,,-,+,% (of popn 0-17),%,pp,no,,-3,"Eurostat, EU Statistics on Income and Living Conditions",,,,,yes,1,,,,ilc_li02,Y,sex=T,unit=PC,indic_il=LI_R_MD60,age=Y_LT18,,,,,,,,,,,,,,,,,,,,,PA11a.S1.
PA11a,S2,Subindicator,Output,,,PA11a.S2,,PA11a.S2.,,,15,country,15,1,compendium,Children living in a household suffering from severe material deprivation(4+),,Severe material deprivation children (0-17),Sev. material depr (0-17),Children living in a household suffering from severe material deprivation (4+),,,,-,+,% (of popn 0-17),%,pp,no,,-3,"Eurostat, EU Statistics on Income and Living Conditions",1.0,,,,,1,,,,ilc_mddd11,Y,sex=T,unit=PC,age=Y_LT18,,,,,,,,,,,,,,,,,,,,,,PA11a.S2.
PA11a,S3,Subindicator,Output,,,PA11a.S3,,PA11a.S3.,,,16,country,16,1,compendium,Children (aged 0-17) living in (quasi-)jobless households,(Children living in households with very low work intensity),Children in very low work intensity households total (0-17),Children in low work intens. Hhs,Children (0-17) living in jobless households,,,,-,+,% (of popn 0-17),%,pp,no,,-3,"Eurostat, EU Statistics on Income and Living Conditions",,,,,,1,,,,ilc_lvhl11,Y,sex=T,unit=PC_Y_LT60,age=Y_LT18,,,,,,,,,,,,,,,,,,,,,,PA11a.S3.
PA11b,O1,Overall,Output,"Preventing poverty and social exclusion through inclusive labour markets, adequate and sustainable social protection and high quality services",Active inclusion â€“ tackling poverty in working age,PA11b.O1,,PA11b.O1.,11j,Main,17,country,17,1,compendium,People at risk of poverty or social exclusion (18-64),,At-risk of poverty and soc. exclus. in WAP (18-64),At-risk of poverty & soc. exclus. in WAP (18-64),People at risk of poverty or exclusion (18-64),,,,-,,% (of popn 18-64),%,pp,no,,-3,"Eurostat, EU Statistics on Income and Living Conditions",,,,,yes,1,,,,ilc_peps01n,Y,sex=T,unit=PC,age=Y18-64,,,,,,,,,,,,,,,,,,,,,,PA11b.O1.
PA11b,S1,Subindicator,Output,,,PA11b.S1,T,PA11b.S1.T,,,18,country,18,1,compendium,At-risk-of poverty rate (aged 18-64) - total,,At-risk of poverty rate in WAP total (18-64),At-risk of poverty rate (T 18-64),At risk of poverty rate (18-64) by sex,,,,-,+,% (of popn 18-64),%,pp,no,,-3,"Eurostat, EU Statistics on Income and Living Conditions",,,,,yes,1,,,,ilc_li02,Y,sex=T,unit=PC,indic_il=LI_R_MD60,age=Y18-64,,,,,,,,,,,,,,,,,,,,,PA11b.S1.T
PA11b,S2,Subindicator,Output,,,PA11b.S2,,PA11b.S2.,,,19,country,19,1,compendium,Adults (aged 18-64) living in a household suffering from severe material deprivation (4+),,Severe material deprivation total (18-64),Sev. mat. Depr. (T 18-64),Adults (18-64) living in a household suffering from severe material deprivation (4+),,,,-,+,% (of popn 18-64),%,pp,no,,-3,"Eurostat, EU Statistics on Income and Living Conditions",1.0,,,,,1,,,,ilc_mddd11,Y,sex=T,unit=PC,age=Y18-64,,,,,,,,,,,,,,,,,,,,,,PA11b.S2.
PA11b,S3,Subindicator,Output,,,PA11b.S3,,PA11b.S3.,,,20,country,20,1,compendium,Adults (aged 18-59) not students living in (quasi-)jobless households,(People living in households with very low work intensity),Adults in very low work intensity households total (18-59),Adults in very low work intens. hh (T 18-59),Adults 18-59 not students living in jobless households,,,,-,+,% (of popn 18-59),%,pp,no,,-3,"Eurostat, EU Statistics on Income and Living Conditions",,,,,,1,,,,ilc_lvhl11,Y,sex=T,unit=PC_Y_LT60,age=Y18-59,,,,,,,,,,,,,,,,,,,,,,PA11b.S3.
PA11c,O1,Overall,Output,"Preventing poverty and social exclusion through inclusive labour markets, adequate and sustainable social protection and high quality services",Elderly poverty,PA11c.O1,,PA11c.O1.,11k,Main,21,country,21,1,compendium,People at risk of poverty or social exclusion (aged 65+) - total,,At-risk of poverty and soc. exclus. in old age total (65+),At-risk of poverty & soc. exclus. In old age (65+),People at risk of poverty or exclusion (65+),,,,-,,% (of popn 65+),%,pp,no,,-3,"Eurostat, EU Statistics on Income and Living Conditions",,,,,yes,1,,,,ilc_peps01n,Y,sex=T,unit=PC,age=Y_GE65,,,,,,,,,,,,,,,,,,,,,,PA11c.O1.
PA11c,O1,Overall,Output,,,PA11c.O1,M,PA11c.O1.M,,,22,country,22,1,compendium,People at risk of poverty or social exclusion (aged 65+) - men,,People at risk of poverty or social exclusion (aged 65+) - men,People at risk of poverty or social exclusion (aged 65+) - men,,,,,-,,% (of popn 65+),%,pp,no,,-3,"Eurostat, EU Statistics on Income and Living Conditions",,,,,yes,1,,,,ilc_peps01n,Y,sex=M,unit=PC,age=Y_GE65,,,,,,,,,,,,,,,,,,,,,,PA11c.O1.M
PA11c,O1,Overall,Output,,,PA11c.O1,F,PA11c.O1.F,,,23,country,23,1,compendium,People at risk of poverty or social exclusion (aged 65+) - women,,People at risk of poverty or social exclusion (aged 65+) - women,People at risk of poverty or social exclusion (aged 65+) - women,,,,,-,,% (of popn 65+),%,pp,no,,-3,"Eurostat, EU Statistics on Income and Living Conditions",,,,,yes,1,,,,ilc_peps01n,Y,sex=F,unit=PC,age=Y_GE65,,,,,,,,,,,,,,,,,,,,,,PA11c.O1.F
PA11c,S1,Subindicator,Output,,,PA11c.S1,T,PA11c.S1.T,,,24,country,24,1,compendium,At-risk-of poverty rate of older people (aged 65+) - total,,At-risk of poverty rate in old age total (65+),At-risk of poverty rate (T 65+),At risk of poverty rate of older people (65+) by sex,,,,-,+,% (of popn 65+),%,pp,no,,-3,"Eurostat, EU Statistics on Income and Living Conditions",,,,,yes,1,,,,ilc_li02,Y,sex=T,unit=PC,indic_il=LI_R_MD60,age=Y_GE65,,,,,,,,,,,,,,,,,,,,,PA11c.S1.T
PA11c,S1,Subindicator,Output,,,PA11c.S1,M,PA11c.S1.M,,,25,country,25,1,compendium,At-risk-of poverty rate of older people (aged 65+) - men,,At-risk of poverty rate in old age men (65+),At-risk of poverty rate (M 65+),At risk of poverty rate of older people (65+) by sex,,,,-,+,% (of men 65+),%,pp,no,,-3,"Eurostat, EU Statistics on Income and Living Conditions",,,,,yes,1,,,,ilc_li02,Y,sex=M,unit=PC,indic_il=LI_R_MD60,age=Y_GE65,,,,,,,,,,,,,,,,,,,,,PA11c.S1.M
PA11c,S1,Subindicator,Output,,,PA11c.S1,F,PA11c.S1.F,,,26,country,26,1,compendium,At-risk-of poverty rate of older people (aged 65+) - women,,At-risk of poverty rate in old age women (65+),At-risk of poverty rate (W 65+),At risk of poverty rate of older people (65+) by sex,,,,-,+,% (of women 65+),%,pp,no,,-3,"Eurostat, EU Statistics on Income and Living Conditions",,,,,yes,1,,,,ilc_li02,Y,sex=F,unit=PC,indic_il=LI_R_MD60,age=Y_GE65,,,,,,,,,,,,,,,,,,,,,PA11c.S1.F
PA11c,S2,Subindicator,Output,,,PA11c.S2,T,PA11c.S2.T,,,27,country,27,1,compendium,Severe material deprivation of older people (aged 65+) - total,,Severe material deprivation total (65+),Sev. mat. depr. (T 65+),Severe material deprivation of older people (65+) by sex,,,,-,+,% (of popn 65+),%,pp,no,,-3,"Eurostat, EU Statistics on Income and Living Conditions",1.0,,,,,1,,,,ilc_mddd11,Y,sex=T,unit=PC,age=Y_GE65,,,,,,,,,,,,,,,,,,,,,,PA11c.S2.T
PA11c,S2,Subindicator,Output,,,PA11c.S2,M,PA11c.S2.M,,,28,country,28,1,compendium,Severe material deprivation of older people (aged 65+) - men,,Severe material deprivation men (65+),Sev. mat. depr. (M 65+),Severe material deprivation of older people (65+) by sex,,,,-,+,% (of men 65+),%,pp,no,,-3,"Eurostat, EU Statistics on Income and Living Conditions",1.0,,,,,1,,,,ilc_mddd11,Y,sex=M,unit=PC,age=Y_GE65,,,,,,,,,,,,,,,,,,,,,,PA11c.S2.M
PA11c,S2,Subindicator,Output,,,PA11c.S2,F,PA11c.S2.F,,,29,country,29,1,compendium,Severe material deprivation of older people (aged 65+) - women,,Severe material deprivation women (65+),Sev. mat. depr. (W 65+),Severe material deprivation of older people (65+) by sex,,,,-,+,% (of women 65+),%,pp,no,,-3,"Eurostat, EU Statistics on Income and Living Conditions",1.0,,,,,1,,,,ilc_mddd11,Y,sex=F,unit=PC,age=Y_GE65,,,,,,,,,,,,,,,,,,,,,,PA11c.S2.F
PA11,S8,Subindicator,Input,,,PA11.S8,,PA11.S8.,11g,Main,30,country,30,1,compendium,Relative median poverty risk gap,"Difference between the at-risk-of-poverty threshold (set at 60 % of the national median equivalised disposable income after social transfers) and the median equivalised disposable income of persons below the same at-risk-of-poverty threshold, expressed as a percentage of the at-risk-of-poverty threshold.",Poverty gap,Poverty gap,,,,,-,+,% (of AROP threshold),%,pp,no,,-3,"Eurostat, EU Statistics on Income and Living Conditions",,,,,yes,1,,,,ilc_li11,Y,sex=T,indic_il=LI_GAP_MD60,age=TOTAL,,,,,,,,,,,,,,,,,,,,,,PA11.S8.
PA11,S9,Subindicator,Input,,,PA11.S9,,PA11.S9.,,,31,country,31,1,compendium,Persistent at-risk-of-poverty rate,,Persistent at-risk-of-poverty rate,Persistent at-risk-of-poverty rate,,,,,-,+,% (of total popn),%,pp,no,,-3,"Eurostat, EU Statistics on Income and Living Conditions",,,,,yes,1,,,,ilc_li21,Y,sex=T,indic_il=LIP_MD60,age=TOTAL,,,,,,,,,,,,,,,,,,,,,,PA11.S9.
