POLICY_CODE,OS_NB_CODE,OS_CODE,INPUTOUTPUT,POLICY,SUBPOLICY,INDICATOR_CODE,SUBPOLICY_CODE,JAF_KEY,NBMAIN,IFMAIN,NBCOUNTRY,IFCOUNTRY,NBCOMPEDIUM,COMPENDIUMID,IFCOMPEDIUM,INDICATOR_FULL,INDICATOR_EXPLANATION,INDICATOR_TABLE,INDICATOR_CHART,LINKDOC,LINKDOC_OLE,REFYEAR,REFERNECPOINT,GENSENSE,SENSEWITHMAIN,UNITLONG,UNITSHORT,UNITCHANGE,IF_CALCULATION,CALCULATION,CHANGE_CALCUL,SOURCE,LAGGED _REFERENCE YEAR,DIFFER _REFERENCE COUNTRY,FOOTNOTE_MAIN,IFPOPWEIGHT,SILC_INCOME,DECIMALX,CLEANING,PROVIDER data,EMPL calcul,table,standard,cond1,cond2,cond3,cond4,cond5,cond6,comments,output_file,formula_engine,formula,factor1,factor2,factor3,factor4,factor5,factor6,factor7,factor8,factor9,factor10,factor11,factor12,factor13,factor14,IND_CODE
PA11a,S10,Subindicator,Output,,,PA11a.S10,,PA11a.S10.,,,59,country,59,1,compendium,At-risk-of poverty rate of children living in household at work (0.55<WI<=1) ,,At-risk-of poverty rate - children living in household at work (0.55<WI<=1) ,At-risk-of poverty rate - children living in household at work (0.55<WI<=1) ,,,,,-,+,% (of popn 0-17),%,pp,no,,-3,"Eurostat, EU Statistics on Income and Living Conditions",,,,,yes,1,,,,empl_AROP_child_wi_055_1,N,,,,,,,,empl_AROP_child_wi_055_1,Y,(a*b+c*d)/(b+d),"['ilc_li06',['age=Y_LT18','hhtyp=HH_DCH','indic_il=LI_R_MD60','sex=T','workint=WI055-085']]","['ilc_lvps03',['age=Y_LT18','hhtyp=HH_DCH','sex=T','workint=WI055-085']]","['ilc_li06',['age=Y_LT18','hhtyp=HH_DCH','indic_il=LI_R_MD60','sex=T','workint=WI085-1']]","['ilc_lvps03',['age=Y_LT18','hhtyp=HH_DCH','sex=T','workint=WI085-1']]",,,,,,,,,,,PA11a.S10.
PA11b,S4,Subindicator,Output,,,PA11b.S4,,PA11b.S4.,,,60,country,60,1,compendium,Rate of long-term unemployment (as % active population) - total,,Long term unemployment,Long term unempl.,Long-term unemployment rate (share of persons unemployed for 12 or more months as % of active population),,,,-,,% (of active popn),%,pp,no,,-3,"Eurostat, EU Labour Force Survey",,,,,,1,,,,une_ltu_a,Y,sex=T,unit=PC_ACT,age=Y15-74,indic_em=LTU,,,,,,,,,,,,,,,,,,,,,PA11b.S4.
PA11b,S6,Subindicator,Input,,,PA11b.S6,,PA11b.S6.,,,61,country,61,1,compendium,Impact of social transfers (other than pensions) in reducing working age poverty (18-64),,Impact of soc. transf. (excl pensions) in reducing working age poverty (18-64),Impact of soc. transf. (excl pensions) in red. working age pov,Impact of social transfers (other than pensions) in reducing child poverty,,,,+,-,% reduction in risk of poverty for working age popn (18-64),%,pp,no,,-3,"Eurostat, EU Statistics on Income and Living Conditions",,,"The indicator for the poverty risk before social transfers must be interpreted with caution for a number of reasons. First, no account is taken of other measures that can have the effect of raising the disposable incomes of households and individuals, namely transfers in kind, tax credits and tax allowances. Second, the pre-transfer poverty risk is compared to the post-transfer risk with all other things being equal â€” namely, assuming unchanged household and labour market structures, thus disregarding any possible behavioural changes that the absence of social transfers might entail.",,yes,1,,,,empl_redc_poverty_no_pensions_18_64,N,,,,,,,,empl_redc_poverty_no_pensions_18_64,Y,100*((a-b)/a),"['ilc_li10',['age=Y18-64','indic_il=LI_R_MD60BT','sex=T']]","['ilc_li02',['age=Y18-64','indic_il=LI_R_MD60','sex=T','unit=PC']]",,,,,,,,,,,,,PA11b.S6.
PA11b,S7,Subindicator,Input,,,PA11b.S7,,PA11b.S7.,,,62,country,62,1,compendium,Impact of social transfers (incl pensions) in reducing working age poverty (18-64),,Impact of soc. transf. (incl pensions) in reducing working age poverty (18-64),Impact of soc. transf. (incl pensions) in red. working age pov,Impact of social transfers (other than pensions) in reducing child poverty,,,,+,-,% reduction in risk of poverty for working age popn (18-64),%,pp,no,,-3,"Eurostat, EU Statistics on Income and Living Conditions",,,"The indicator for the poverty risk before social transfers must be interpreted with caution for a number of reasons. First, no account is taken of other measures that can have the effect of raising the disposable incomes of households and individuals, namely transfers in kind, tax credits and tax allowances. Second, the pre-transfer poverty risk is compared to the post-transfer risk with all other things being equal â€” namely, assuming unchanged household and labour market structures, thus disregarding any possible behavioural changes that the absence of social transfers might entail.",,yes,1,,,,empl_redc_poverty_incl_pensions_18_64,N,,,,,,,,empl_redc_poverty_incl_pensions_18_64,Y,100*((a-b)/a),"['ilc_li09',['age=Y18-64','indic_il=LI_R_MD60BTP','sex=T']]","['ilc_li02',['age=Y18-64','indic_il=LI_R_MD60','sex=T','unit=PC']]",,,,,,,,,,,,,PA11b.S7.
PA11b,S8,Subindicator,Input,,,PA11b.S8,,PA11b.S8.,,,63,country,63,1,compendium,At-risk of poverty rate for population living in (quasi-)jobless households (18-64),,At-risk of pov. rate for pop. living in (quasi-)jobless hhs  (18-64),At-risk of pov. rate for pop. living in (quasi-)jobless hhs  (18-64),,,,,-,+,% (of total popn),%,pp,no,,-3,"Eurostat, EU Statistics on Income and Living Conditions",,,,,yes,1,,,,ilc_li06,Y,sex=T,workint=WI0-02,indic_il=LI_R_MD60,age=Y18-64,hhtyp=TOTAL,,,,,,,,,,,,,,,,,,,,PA11b.S8.
PA11b,S9,Subindicator,Input,,,PA11b.S9,,PA11b.S9.,,,64,country,64,1,compendium,Relative median poverty risk gap (18-64),"(The difference between the median equivalised total net income of persons below the at-risk-of-poverty threshold and the at-risk-of-poverty threshold, expressed as a percentage of the at-risk-of-poverty threshold.)",Poverty gap (18-64),Poverty gap (18-64),,,,,-,+,% (of AROP threshold),%,pp,no,,-3,"Eurostat, EU Statistics on Income and Living Conditions",,,,,yes,1,,,,ilc_li11,Y,sex=T,indic_il=LI_GAP_MD60,age=Y18-64,,,,,,,,,,,,,,,,,,,,,,PA11b.S9.
PA11b,S5,Subindicator,Output,,,PA11b.S5,T,PA11b.S5.T,,,65,country,65,1,compendium,In-work poverty (18-64) - total,,In-work poverty (18-64) - total,"In-work poverty (T, 18-64)",In-work poverty (by sex),,,,-,+,% (of employed 18-64),%,pp,no,,-3,"Eurostat, EU Statistics on Income and Living Conditions",,,,,yes,1,,,,ilc_iw01,Y,sex=T,wstatus=EMP,age=Y18-64,,,,,,,,,,,,,,,,,,,,,,PA11b.S5.T
PA11b,S5,Subindicator,Output,,,PA11b.S5,M,PA11b.S5.M,,,66,country,66,1,compendium,In-work poverty (18-64) - men,,In-work poverty (18-64) - men,"In-work poverty (M, 18-64)",In-work poverty (by sex),,,,-,+,% (of employed men 18-64),%,pp,no,,-3,"Eurostat, EU Statistics on Income and Living Conditions",,,,,yes,1,,,,ilc_iw01,Y,sex=M,wstatus=EMP,age=Y18-64,,,,,,,,,,,,,,,,,,,,,,PA11b.S5.M
PA11b,S5,Subindicator,Output,,,PA11b.S5,F,PA11b.S5.F,,,67,country,67,1,compendium,In-work poverty (18-64) - women,,In-work poverty (18-64) - women,"In-work poverty (W, 18-64)",In-work poverty (by sex),,,,-,+,% (of employed women 18-64),%,pp,no,,-3,"Eurostat, EU Statistics on Income and Living Conditions",,,,,yes,1,,,,ilc_iw01,Y,sex=F,wstatus=EMP,age=Y18-64,,,,,,,,,,,,,,,,,,,,,,PA11b.S5.F
PA11,S6,Subindicator,Input,,,PA11.S6,18-64.WI02-045,PA11.S6.18-64.WI02-045,,,68,country,68,1,compendium,At-risk of poverty rate for population living in low work intensity households (18-64),,At-risk of poverty rate for population living in low work intensity households (18-64),At-risk of poverty rate for population living in low work intensity households (18-64),,,,,-,+,% (of total popn),%,pp,no,,-3,"Eurostat, EU Statistics on Income and Living Conditions",,,,,yes,1,,,,ilc_li06,Y,sex=T,workint=WI02-045,indic_il=LI_R_MD60,age=Y18-64,hhtyp=TOTAL,,,,,,,,,,,,,,,,,,,,PA11.S6.18-64.WI02-045
PA11c,S3,Subindicator,Input,,,PA11c.S3,,PA11c.S3.,,,69,country,69,1,compendium,Impact of social transfers (incl pensions) in reducing old age poverty (65+),,Impact of social trans (incl pensions) in reducing old age pov (65+),Impact social trans (incl pensions) in reducing old age pov (65+),,,,,+,-,% reduction in risk of poverty for elderly popn (65+),%,pp,no,,-3,"Eurostat, EU Statistics on Income and Living Conditions",,,"The indicator for the poverty risk before social transfers must be interpreted with caution for a number of reasons. First, no account is taken of other measures that can have the effect of raising the disposable incomes of households and individuals, namely transfers in kind, tax credits and tax allowances. Second, the pre-transfer poverty risk is compared to the post-transfer risk with all other things being equal â€” namely, assuming unchanged household and labour market structures, thus disregarding any possible behavioural changes that the absence of social transfers might entail.",,yes,1,,,,empl_redc_poverty_incl_pensions_65,N,,,,,,,,empl_redc_poverty_incl_pensions_65,Y,100*((a-b)/a),"['ilc_li09',['age=Y_GE65','indic_il=LI_R_MD60BTP','sex=T']]","['ilc_li02',['age=Y_GE65','indic_il=LI_R_MD60','sex=T','unit=PC']]",,,,,,,,,,,,,PA11c.S3.
PA11c,S4,Subindicator,Output,,,PA11c.S4,,PA11c.S4.,,,70,country,70,1,compendium,Relative median poverty risk gap (65+),,Poverty gap (65+),Poverty gap (65+),,,,,-,+,% (of AROP threshold),%,pp,no,,-3,"Eurostat, EU Statistics on Income and Living Conditions",,,"The indicator for the poverty risk before social transfers (excluding pensions) must be interpreted with caution for a number of reasons. First, no account is taken of other measures that can have the effect of raising the disposable incomes of households and individuals, namely transfers in kind, tax credits and tax allowances. Second, the pre-transfer poverty risk is compared to the post-transfer risk with all other things being equal â€” namely, assuming unchanged household and labour market structures, thus disregarding any possible behavioural changes that the absence of social transfers might entail.",,yes,1,,,,ilc_li11,Y,sex=T,indic_il=LI_GAP_MD60,age=Y_GE65,,,,,,,,,,,,,,,,,,,,,,PA11c.S4.
PA11c,S5,Subindicator,Input,,,PA11c.S5,,PA11c.S5.,,,71,country,71,1,compendium,Aggregate replacement ratio (excl other social benefits),,Aggregate replacement ratio (excl other social benefits),Aggregate replacement ratio (excl other social benefits),,,,,+,-,ratio,ratio,ratio change,no,,-3,"Eurostat, EU Statistics on Income and Living Conditions",,,,,yes,2,,,,ilc_pnp3,Y,sex=T,unit=PC,,,,,,,,,,,,,,,,,,,,,,,PA11c.S5.
PA13,S1,Subindicator,Input,,,PA13.S1,,PA13.S1.,,,72,country,72,2,compendium,Life expectancy at birth (T),,Life expectancy at birth (T),Life expectancy at birth (T),,,,,+,,yrs,yrs,yrs,no,,-3,,,,,,,1,,,,tps00205,Y,sex=T,age=Y_LT1,unit=YR,,,,,,,,,,,,,,,,,,,,,,PA13.S1.
PA13,S2,Subindicator,Input,,,PA13.S2,,PA13.S2.,,,73,country,73,2,compendium,Life expectancy at birth (M),,Life expectancy at birth (M),Life expectancy at birth (M),,,,,+,,yrs,yrs,yrs,no,,-3,,,,,,,1,,,,tps00205,Y,sex=M,age=Y_LT1,unit=YR,,,,,,,,,,,,,,,,,,,,,,PA13.S2.
PA13,S3,Subindicator,Input,,,PA13.S3,,PA13.S3.,,,74,country,74,2,compendium,Life expectancy at birth (W),,Life expectancy at birth (W),Life expectancy at birth (W),,,,,+,,yrs,yrs,yrs,no,,-3,,,,,,,1,,,,tps00205,Y,sex=F,age=Y_LT1,unit=YR,,,,,,,,,,,,,,,,,,,,,,PA13.S3.
PA13,S4,Subindicator,Input,,,PA13.S4,,PA13.S4.,,,75,country,75,2,compendium,Life expectancy at 65 (T),,Life expectancy at 65 (T),Life expectancy at 65 (T),,,,,+,,yrs,yrs,yrs,no,,-3,,,,,,,1,,,,demo_mlexpec,Y,sex=T,age=Y65,unit=YR,,,,,,,,,,,,,,,,,,,,,,PA13.S4.
PA13,S5,Subindicator,Input,,,PA13.S5,,PA13.S5.,,,76,country,76,2,compendium,Life expectancy at 65 (M),,Life expectancy at 65 (M),Life expectancy at 65 (M),,,,,+,,yrs,yrs,yrs,no,,-3,,,,,,,1,,,,demo_mlexpec,Y,sex=M,age=Y65,unit=YR,,,,,,,,,,,,,,,,,,,,,,PA13.S5.
PA13,S6,Subindicator,Input,,,PA13.S6,,PA13.S6.,,,77,country,77,2,compendium,Life expectancy at 65 (W),,Life expectancy at 65 (W),Life expectancy at 65 (W),,,,,+,,yrs,yrs,yrs,no,,-3,,,,,,,1,,,,demo_mlexpec,Y,sex=F,age=Y65,unit=YR,,,,,,,,,,,,,,,,,,,,,,PA13.S6.
PA13,S7,Subindicator,Input,,,PA13.S7,,PA13.S7.,,,78,country,78,2,compendium,Healthy life years at birth (M),,Healthy life years at birth (M),Healthy life years at birth (M),,,,,+,,yrs,yrs,yrs,no,,-3,,,,,,,1,,,,hlth_hlye,Y,indic_he=HLY_0,sex=M,unit=YR,,,,,,,,,,,,,,,,,,,,,,PA13.S7.
PA13,S8,Subindicator,Input,,,PA13.S8,,PA13.S8.,,,79,country,79,2,compendium,Healthy life years at birth (W),,Healthy life years at birth (W),Healthy life years at birth (W),,,,,+,,yrs,yrs,yrs,no,,-3,,,,,,,1,,,,hlth_hlye,Y,indic_he=HLY_0,sex=F,unit=YR,,,,,,,,,,,,,,,,,,,,,,PA13.S8.
PA13,S9,Subindicator,Input,,,PA13.S9,,PA13.S9.,,,80,country,80,2,compendium,Healthy life years at 65 (M),,Healthy life years at 65 (M),Healthy life years at 65 (M),,,,,+,,yrs,yrs,yrs,no,,-3,,,,,,,1,,,,hlth_hlye,Y,indic_he=HLY_65,sex=M,unit=YR,,,,,,,,,,,,,,,,,,,,,,PA13.S9.
PA13,S10,Subindicator,Input,,,PA13.S10,,PA13.S10.,,,81,country,81,2,compendium,Healthy life years at 65 (W),,Healthy life years at 65 (W),Healthy life years at 65 (W),,,,,+,,yrs,yrs,yrs,no,,-3,,,,,,,1,,,,hlth_hlye,Y,indic_he=HLY_65,sex=F,unit=YR,,,,,,,,,,,,,,,,,,,,,,PA13.S10.
PA13,S11,Subindicator,Input,,,PA13.S11,,PA13.S11.,,,82,country,82,2,compendium,"Child mortality, 1-14",,"Child mortality, 1-14","Child mortality, 1-14",,,,,+,,rate,rate,rate,no,,-3,,,,,,,1,,,,hlth_cd_acdr2,Y,sex=T,age=Y_LT15,icd10=A-R_V-Y,,,,,,,,,,,,,,,,,,,,,,PA13.S11.
PA13,S12,Subindicator,Input,,,PA13.S12,,PA13.S12.,,,83,country,83,2,compendium,Potential years of life lost (T),,Potential years of life lost (T),Potential years of life lost (T),,,,,-,,yrs (per 100 000 inhab),yrs (per 100 000 inhab),yrs,no,,-3,,,,,,,1,,,,hlth_cd_apyll,Y,icd10=A-R_V-Y,sex=T,unit=YR,,,,,,,,,,,,,,,,,,,,,,PA13.S12.
PA13,S13,Subindicator,Input,,,PA13.S13,,PA13.S13.,,,84,country,84,2,compendium,Treatable mortality standardized rate,,Treatable mortality standardized rate,Treatable mortality standardized rate,,,,,-,,st rate,st rate,yrs,no,,-3,,,,,,,2,,,,hlth_cd_apr,Y,mortalit=TRT,sex=T,unit=RT,icd10=TOTAL,,,,,,,,,,,,,,,,,,,,,PA13.S13.
PA13,S14,Subindicator,Input,,,PA13.S14,,PA13.S14.,,,85,country,85,2,compendium,Preventable mortality,,Preventable mortality,Preventable mortality,,,,,-,,st rate,st rate,yrs,no,,-3,,,,,,,2,,,,hlth_cd_apr,Y,mortalit=PRVT,sex=T,unit=RT,icd10=TOTAL,,,,,,,,,,,,,,,,,,,,,PA13.S14.
PA13,S15,Subindicator,Input,,,PA13.S15,,PA13.S15.,,,86,country,86,2,compendium,"Unmet need med care (costs, waiting or distance)",,"Unmet need med care (costs, waiting or distance)","Unmet need med care (costs, waiting or distance)",,,,,-,,%,%,pp,no,,-3,,,,,,,1,,,,hlth_silc_08,Y,age=Y_GE16,quantile=TOTAL,reason=TOOEFW,sex=T,unit=PC,,,,,,,,,,,,,,,,,,,,PA13.S15.
PA13,S16,Subindicator,Input,,,PA13.S16,,PA13.S16.,,,87,country,87,2,compendium,Unmet need med care - cost,,Unmet need med care - cost,Unmet need med care - cost,,,,,-,,%,%,pp,no,,-3,,,,,,,1,,,,hlth_silc_08,Y,age=Y_GE16,quantile=TOTAL,reason=TOOEXP,sex=T,unit=PC,,,,,,,,,,,,,,,,,,,,PA13.S16.
PA13,S17,Subindicator,Input,,,PA13.S17,,PA13.S17.,,,88,country,88,2,compendium,Unmet need med care - waiting,,Unmet need med care - waiting,Unmet need med care - waiting,,,,,-,,%,%,pp,no,,-3,,,,,,,1,,,,hlth_silc_08,Y,age=Y_GE16,quantile=TOTAL,reason=WAITING,sex=T,unit=PC,,,,,,,,,,,,,,,,,,,,PA13.S17.
PA13,S18,Subindicator,Input,,,PA13.S18,,PA13.S18.,,,89,country,89,2,compendium,Unmet need med care - distance,,Unmet need med care - distance,Unmet need med care - distance,,,,,-,,%,%,pp,no,,-3,,,,,,,1,,,,hlth_silc_08,Y,age=Y_GE16,quantile=TOTAL,reason=TOOFAR,sex=T,unit=PC,,,,,,,,,,,,,,,,,,,,PA13.S18.
PA13,S19,Subindicator,Input,,,PA13.S19,,PA13.S19.,,,90,country,90,2,compendium,Gap unmet need med care Q1-Q5,,Gap unmet need med care Q1-Q5,Gap unmet need med care Q1-Q5,,,,,-,,pp,pp,pp,no,,-3,,,,,,,1,,,,empl_Gap_unmet_need_med_care_Q1_Q5,N,,,,,,,,empl_Gap_unmet_need_med_care_Q1_Q5,Y,a-b,"['hlth_silc_08',['age=Y_GE16','quantile=QU1','reason=TOOEFW','sex=T','unit=PC']]","['hlth_silc_08',['age=Y_GE16','quantile=QU5','reason=TOOEFW','sex=T','unit=PC']]",,,,,,,,,,,,,PA13.S19.
PA11,C11,Subindicator,Output,,,PA11.C11,Q1-Q5.TOOEXP,PA11.C11.Q1-Q5.TOOEXP,,,91,country,91,1,compendium,Unmet need for medical care due to cost Q1 - Q5,,Unmet need for medical care due to cost Q1 - Q5,Unmet need for medical care due to cost Q1 - Q5,,,,,-,,% (of total popn),%,pp,no,,-3,"Eurostat, EU Statistics on Income and Living Conditions",,,,,,1,,,,unmet_medical_cost_Q1Q5,N,,,,,,,,unmet_medical_cost_Q1Q5,Y,a-b,"['hlth_silc_08',['age=Y_GE16','quantile=QU1','reason=TOOEXP','sex=T','unit=PC']]","['hlth_silc_08',['age=Y_GE16','quantile=QU5','reason=TOOEXP','sex=T','unit=PC']]",,,,,,,,,,,,,PA11.C11.Q1-Q5.TOOEXP
PA11,C11,Subindicator,Output,,,PA11.C11,Q1-Q5.TOOFAR,PA11.C11.Q1-Q5.TOOFAR,,,92,country,92,1,compendium,Unmet need for medical care due to distance Q1 - Q5,,Unmet need for medical care due to distance Q1 - Q5,Unmet need for medical care due to distance Q1 - Q5,,,,,-,,% (of total popn),%,pp,no,,-3,"Eurostat, EU Statistics on Income and Living Conditions",,,,,,1,,,,unmet_medical_dist_Q1Q5,N,,,,,,,,unmet_medical_dist_Q1Q5,Y,a-b,"['hlth_silc_08',['age=Y_GE16','quantile=QU1','reason=TOOFAR','sex=T','unit=PC']]","['hlth_silc_08',['age=Y_GE16','quantile=QU5','reason=TOOFAR','sex=T','unit=PC']]",,,,,,,,,,,,,PA11.C11.Q1-Q5.TOOFAR
PA11,C11,Subindicator,Output,,,PA11.C11,Q1-Q5.NOTIME,PA11.C11.Q1-Q5.NOTIME,,,93,country,93,1,compendium,Unmet need for medical care due to waiting time Q1 - Q5,,Unmet need for medical care due to waiting time Q1 - Q5,Unmet need for medical care due to waiting time Q1 - Q5,,,,,-,,% (of total popn),%,pp,no,,-3,"Eurostat, EU Statistics on Income and Living Conditions",,,,,,1,,,,unmet_medical_wait_Q1Q5,N,,,,,,,,unmet_medical_wait_Q1Q5,Y,a-b,"['hlth_silc_08',['age=Y_GE16','quantile=QU1','reason=NOTIME','sex=T','unit=PC']]","['hlth_silc_08',['age=Y_GE16','quantile=QU5','reason=NOTIME','sex=T','unit=PC']]",,,,,,,,,,,,,PA11.C11.Q1-Q5.NOTIME
