a,b,geo,year,flags_a,flags_b,value_n,file
,,AT,2003,:,:,,empl_gender_gap_20_64
,,AT,2004,:,:,,empl_gender_gap_20_64
,,AT,2005,:,:,,empl_gender_gap_20_64
,,AT,2006,:,:,,empl_gender_gap_20_64
,,AT,2007,:,:,,empl_gender_gap_20_64
,,AT,2008,:,:,,empl_gender_gap_20_64
78.7,68.2,AT,2009,"","",10.5,empl_gender_gap_20_64
79,68.8,AT,2010,"","",10.2,empl_gender_gap_20_64
79.2,69.2,AT,2011,"","",10,empl_gender_gap_20_64
79.3,69.6,AT,2012,"","",9.7,empl_gender_gap_20_64
79.1,70,AT,2013,"","",9.09999999999999,empl_gender_gap_20_64
78.3,70.1,AT,2014,"","",8.2,empl_gender_gap_20_64
78.4,70.2,AT,2015,"","",8.2,empl_gender_gap_20_64
78.7,70.9,AT,2016,"","",7.8,empl_gender_gap_20_64
79.4,71.4,AT,2017,"","",8,empl_gender_gap_20_64
80.7,71.7,AT,2018,"","",9,empl_gender_gap_20_64
81.2,72.4,AT,2019,"","",8.8,empl_gender_gap_20_64
79,70.6,AT,2020,"","",8.40000000000001,empl_gender_gap_20_64
79.9,71.3,AT,2021,"","",8.60000000000001,empl_gender_gap_20_64
81.2,73.4,AT,2022,"","",7.8,empl_gender_gap_20_64
81.1,73.3,AT,2023,"","",7.8,empl_gender_gap_20_64
80.8,73.9,AT,2024,"","",6.89999999999999,empl_gender_gap_20_64
,,BE,2003,:,:,,empl_gender_gap_20_64
,,BE,2004,:,:,,empl_gender_gap_20_64
,,BE,2005,:,:,,empl_gender_gap_20_64
,,BE,2006,:,:,,empl_gender_gap_20_64
,,BE,2007,:,:,,empl_gender_gap_20_64
,,BE,2008,:,:,,empl_gender_gap_20_64
73.2,61,BE,2009,"","",12.2,empl_gender_gap_20_64
73.5,61.6,BE,2010,"","",11.9,empl_gender_gap_20_64
73,61.5,BE,2011,"","",11.5,empl_gender_gap_20_64
72.7,61.7,BE,2012,"","",11,empl_gender_gap_20_64
72.3,62.1,BE,2013,"","",10.2,empl_gender_gap_20_64
71.6,62.9,BE,2014,"","",8.7,empl_gender_gap_20_64
71.3,63,BE,2015,"","",8.3,empl_gender_gap_20_64
72.3,63,BE,2016,"","",9.3,empl_gender_gap_20_64
73.4,63.6,BE,2017, b, b,9.8,empl_gender_gap_20_64
73.9,65.5,BE,2018,"","",8.40000000000001,empl_gender_gap_20_64
74.5,66.5,BE,2019,"","",8,empl_gender_gap_20_64
73.7,65.6,BE,2020,"","",8.10000000000001,empl_gender_gap_20_64
74.5,66.8,BE,2021,"","",7.7,empl_gender_gap_20_64
75.7,68.1,BE,2022,"","",7.60000000000001,empl_gender_gap_20_64
75.9,68.3,BE,2023,"","",7.60000000000001,empl_gender_gap_20_64
76.3,68.3,BE,2024,"","",8,empl_gender_gap_20_64
,,BG,2003,:,:,,empl_gender_gap_20_64
,,BG,2004,:,:,,empl_gender_gap_20_64
,,BG,2005,:,:,,empl_gender_gap_20_64
,,BG,2006,:,:,,empl_gender_gap_20_64
,,BG,2007,:,:,,empl_gender_gap_20_64
,,BG,2008,:,:,,empl_gender_gap_20_64
72.9,63.6,BG,2009,"","",9.3,empl_gender_gap_20_64
67.8,60.3,BG,2010, b, b,7.5,empl_gender_gap_20_64
65.2,59.4,BG,2011, b, b,5.8,empl_gender_gap_20_64
65,59.8,BG,2012,"","",5.2,empl_gender_gap_20_64
65.6,60.2,BG,2013,"","",5.39999999999999,empl_gender_gap_20_64
67.3,61.5,BG,2014,"","",5.8,empl_gender_gap_20_64
69.6,63.3,BG,2015,"","",6.3,empl_gender_gap_20_64
70.4,63.6,BG,2016,"","",6.8,empl_gender_gap_20_64
74.4,66.8,BG,2017,"","",7.60000000000001,empl_gender_gap_20_64
75.5,67.8,BG,2018,"","",7.7,empl_gender_gap_20_64
78.3,70.2,BG,2019, b, b,8.09999999999999,empl_gender_gap_20_64
76.8,68.5,BG,2020,"","",8.3,empl_gender_gap_20_64
77.5,69.1,BG,2021,"","",8.40000000000001,empl_gender_gap_20_64
79.6,72.1,BG,2022,"","",7.5,empl_gender_gap_20_64
79.9,72.6,BG,2023,"","",7.30000000000001,empl_gender_gap_20_64
80.3,73.1,BG,2024,"","",7.2,empl_gender_gap_20_64
,,CY,2003,:,:,,empl_gender_gap_20_64
,,CY,2004,:,:,,empl_gender_gap_20_64
,,CY,2005,:,:,,empl_gender_gap_20_64
,,CY,2006,:,:,,empl_gender_gap_20_64
,,CY,2007,:,:,,empl_gender_gap_20_64
,,CY,2008,:,:,,empl_gender_gap_20_64
82.8,68.3,CY,2009,"","",14.5,empl_gender_gap_20_64
81.7,68.8,CY,2010,"","",12.9,empl_gender_gap_20_64
79.6,67.7,CY,2011,"","",11.9,empl_gender_gap_20_64
76.1,64.8,CY,2012,"","",11.3,empl_gender_gap_20_64
72.6,62.2,CY,2013,"","",10.4,empl_gender_gap_20_64
71.6,63.9,CY,2014,"","",7.7,empl_gender_gap_20_64
72.3,64,CY,2015,"","",8.3,empl_gender_gap_20_64
73.8,64.1,CY,2016,"","",9.7,empl_gender_gap_20_64
75.7,66.2,CY,2017,"","",9.5,empl_gender_gap_20_64
79.3,68.9,CY,2018,"","",10.4,empl_gender_gap_20_64
81.3,70.7,CY,2019,"","",10.6,empl_gender_gap_20_64
81.1,69.5,CY,2020,"","",11.6,empl_gender_gap_20_64
82.3,70.8,CY,2021,"","",11.5,empl_gender_gap_20_64
84.3,73.4,CY,2022,"","",10.9,empl_gender_gap_20_64
84.2,75.2,CY,2023,"","",9,empl_gender_gap_20_64
85,75,CY,2024,"","",10,empl_gender_gap_20_64
,,CZ,2003,:,:,,empl_gender_gap_20_64
,,CZ,2004,:,:,,empl_gender_gap_20_64
,,CZ,2005,:,:,,empl_gender_gap_20_64
,,CZ,2006,:,:,,empl_gender_gap_20_64
,,CZ,2007,:,:,,empl_gender_gap_20_64
,,CZ,2008,:,:,,empl_gender_gap_20_64
80.2,61.4,CZ,2009,"","",18.8,empl_gender_gap_20_64
79.6,60.9,CZ,2010,"","",18.7,empl_gender_gap_20_64
79.9,61.7,CZ,2011, b, b,18.2,empl_gender_gap_20_64
80.2,62.5,CZ,2012,"","",17.7,empl_gender_gap_20_64
81,63.8,CZ,2013,"","",17.2,empl_gender_gap_20_64
82.2,64.7,CZ,2014,"","",17.5,empl_gender_gap_20_64
83,66.4,CZ,2015,"","",16.6,empl_gender_gap_20_64
84.6,68.6,CZ,2016,"","",16,empl_gender_gap_20_64
86.3,70.5,CZ,2017,"","",15.8,empl_gender_gap_20_64
87.4,72.2,CZ,2018,"","",15.2,empl_gender_gap_20_64
87.7,72.7,CZ,2019,"","",15,empl_gender_gap_20_64
87.2,71.9,CZ,2020,"","",15.3,empl_gender_gap_20_64
87.5,72.1,CZ,2021,"","",15.4,empl_gender_gap_20_64
88.6,73.7,CZ,2022,"","",14.9,empl_gender_gap_20_64
88.4,74.5,CZ,2023,"","",13.9,empl_gender_gap_20_64
88.4,75.8,CZ,2024,"","",12.6,empl_gender_gap_20_64
,,DE,2003,:,:,,empl_gender_gap_20_64
,,DE,2004,:,:,,empl_gender_gap_20_64
,,DE,2005,:,:,,empl_gender_gap_20_64
,,DE,2006,:,:,,empl_gender_gap_20_64
,,DE,2007,:,:,,empl_gender_gap_20_64
,,DE,2008,:,:,,empl_gender_gap_20_64
78.5,67.8,DE,2009,"","",10.7,empl_gender_gap_20_64
79.3,68.8,DE,2010, b, b,10.5,empl_gender_gap_20_64
80.6,70.3,DE,2011, b, b,10.3,empl_gender_gap_20_64
81,70.7,DE,2012,"","",10.3,empl_gender_gap_20_64
81,71.5,DE,2013,"","",9.5,empl_gender_gap_20_64
81.2,72.1,DE,2014,"","",9.10000000000001,empl_gender_gap_20_64
81.2,72.6,DE,2015,"","",8.60000000000001,empl_gender_gap_20_64
81.6,73.5,DE,2016,"","",8.09999999999999,empl_gender_gap_20_64
82,74.2,DE,2017,"","",7.8,empl_gender_gap_20_64
82.8,74.8,DE,2018,"","",8,empl_gender_gap_20_64
83.5,75.5,DE,2019,"","",8,empl_gender_gap_20_64
81.9,74.4,DE,2020, b, b,7.5,empl_gender_gap_20_64
83,75.6,DE,2021,"","",7.40000000000001,empl_gender_gap_20_64
84.4,76.7,DE,2022,"","",7.7,empl_gender_gap_20_64
84.9,77.2,DE,2023,"","",7.7,empl_gender_gap_20_64
84.9,77.6,DE,2024,"","",7.30000000000001,empl_gender_gap_20_64
,,DK,2003,:,:,,empl_gender_gap_20_64
,,DK,2004,:,:,,empl_gender_gap_20_64
,,DK,2005,:,:,,empl_gender_gap_20_64
,,DK,2006,:,:,,empl_gender_gap_20_64
,,DK,2007,:,:,,empl_gender_gap_20_64
,,DK,2008,:,:,,empl_gender_gap_20_64
79.1,73.1,DK,2009,"","",6,empl_gender_gap_20_64
77.7,72,DK,2010,"","",5.7,empl_gender_gap_20_64
78.3,71.4,DK,2011,"","",6.89999999999999,empl_gender_gap_20_64
77.5,71.1,DK,2012,"","",6.40000000000001,empl_gender_gap_20_64
77.5,71.2,DK,2013,"","",6.3,empl_gender_gap_20_64
78.4,71,DK,2014,"","",7.40000000000001,empl_gender_gap_20_64
79.3,71.5,DK,2015,"","",7.8,empl_gender_gap_20_64
79.4,72.5,DK,2016, b, b,6.90000000000001,empl_gender_gap_20_64
79.9,73.2,DK,2017, b, b,6.7,empl_gender_gap_20_64
80.9,73.9,DK,2018,"","",7,empl_gender_gap_20_64
81.9,74.7,DK,2019,"","",7.2,empl_gender_gap_20_64
81.3,74.3,DK,2020,"","",7,empl_gender_gap_20_64
82.4,75.5,DK,2021,"","",6.90000000000001,empl_gender_gap_20_64
82.8,77.4,DK,2022,"","",5.39999999999999,empl_gender_gap_20_64
82.6,77,DK,2023, b, b,5.59999999999999,empl_gender_gap_20_64
83.4,76.9,DK,2024,"","",6.5,empl_gender_gap_20_64
,,EA20,2003,:,:,,empl_gender_gap_20_64
,,EA20,2004,:,:,,empl_gender_gap_20_64
,,EA20,2005,:,:,,empl_gender_gap_20_64
,,EA20,2006,:,:,,empl_gender_gap_20_64
,,EA20,2007,:,:,,empl_gender_gap_20_64
,,EA20,2008,:,:,,empl_gender_gap_20_64
75,61.7,EA20,2009,"","",13.3,empl_gender_gap_20_64
74.4,61.6,EA20,2010,"","",12.8,empl_gender_gap_20_64
74.3,61.9,EA20,2011,"","",12.4,empl_gender_gap_20_64
73.4,61.8,EA20,2012,"","",11.6,empl_gender_gap_20_64
72.7,61.9,EA20,2013,"","",10.8,empl_gender_gap_20_64
73.2,62.5,EA20,2014,"","",10.7,empl_gender_gap_20_64
74.1,63.3,EA20,2015,"","",10.8,empl_gender_gap_20_64
75.1,64.3,EA20,2016,"","",10.8,empl_gender_gap_20_64
76.1,65.3,EA20,2017,"","",10.8,empl_gender_gap_20_64
77.1,66.3,EA20,2018,"","",10.8,empl_gender_gap_20_64
77.7,67.2,EA20,2019,"","",10.5,empl_gender_gap_20_64
76.3,66,EA20,2020,"","",10.3,empl_gender_gap_20_64
77.5,67.3,EA20,2021,"","",10.2,empl_gender_gap_20_64
79.1,68.9,EA20,2022,"","",10.2,empl_gender_gap_20_64
79.7,69.8,EA20,2023,"","",9.90000000000001,empl_gender_gap_20_64
80.1,70.5,EA20,2024,"","",9.59999999999999,empl_gender_gap_20_64
,,EE,2003,:,:,,empl_gender_gap_20_64
,,EE,2004,:,:,,empl_gender_gap_20_64
,,EE,2005,:,:,,empl_gender_gap_20_64
,,EE,2006,:,:,,empl_gender_gap_20_64
,,EE,2007,:,:,,empl_gender_gap_20_64
,,EE,2008,:,:,,empl_gender_gap_20_64
71,69.9,EE,2009,"","",1.09999999999999,empl_gender_gap_20_64
67.9,67.4,EE,2010,"","",0.5,empl_gender_gap_20_64
73.5,68.6,EE,2011,"","",4.90000000000001,empl_gender_gap_20_64
75.2,71.1,EE,2012,"","",4.10000000000001,empl_gender_gap_20_64
76.8,71.6,EE,2013,"","",5.2,empl_gender_gap_20_64
78.4,71.9,EE,2014,"","",6.5,empl_gender_gap_20_64
80,73.7,EE,2015,"","",6.3,empl_gender_gap_20_64
80.5,73.7,EE,2016,"","",6.8,empl_gender_gap_20_64
81.7,76.8,EE,2017,"","",4.90000000000001,empl_gender_gap_20_64
82.8,76.8,EE,2018,"","",6,empl_gender_gap_20_64
83.5,77.5,EE,2019,"","",6,empl_gender_gap_20_64
81.3,76.9,EE,2020,"","",4.39999999999999,empl_gender_gap_20_64
81.2,77.5,EE,2021,"","",3.7,empl_gender_gap_20_64
83.3,80.4,EE,2022,"","",2.89999999999999,empl_gender_gap_20_64
83.3,80.9,EE,2023,"","",2.39999999999999,empl_gender_gap_20_64
82.6,80.9,EE,2024,"","",1.69999999999999,empl_gender_gap_20_64
,,EL,2003,:,:,,empl_gender_gap_20_64
,,EL,2004,:,:,,empl_gender_gap_20_64
,,EL,2005,:,:,,empl_gender_gap_20_64
,,EL,2006,:,:,,empl_gender_gap_20_64
,,EL,2007,:,:,,empl_gender_gap_20_64
,,EL,2008,:,:,,empl_gender_gap_20_64
78.6,52.4,EL,2009,"","",26.2,empl_gender_gap_20_64
76,51.2,EL,2010,"","",24.8,empl_gender_gap_20_64
70.8,48.1,EL,2011,"","",22.7,empl_gender_gap_20_64
64.7,44.6,EL,2012,"","",20.1,empl_gender_gap_20_64
62.4,42.9,EL,2013,"","",19.5,empl_gender_gap_20_64
62.6,43.8,EL,2014,"","",18.8,empl_gender_gap_20_64
64.2,45.6,EL,2015,"","",18.6,empl_gender_gap_20_64
65.7,46.2,EL,2016,"","",19.5,empl_gender_gap_20_64
67.6,47.4,EL,2017,"","",20.2,empl_gender_gap_20_64
69.9,48.3,EL,2018,"","",21.6,empl_gender_gap_20_64
71.2,50.5,EL,2019,"","",20.7,empl_gender_gap_20_64
68.1,48.7,EL,2020,"","",19.4,empl_gender_gap_20_64
72.5,52.7,EL,2021,"","",19.8,empl_gender_gap_20_64
76.9,55.9,EL,2022,"","",21,empl_gender_gap_20_64
77.4,57.6,EL,2023,"","",19.8,empl_gender_gap_20_64
78.7,59.9,EL,2024,"","",18.8,empl_gender_gap_20_64
,,ES,2003,:,:,,empl_gender_gap_20_64
,,ES,2004,:,:,,empl_gender_gap_20_64
,,ES,2005,:,:,,empl_gender_gap_20_64
,,ES,2006,:,:,,empl_gender_gap_20_64
,,ES,2007,:,:,,empl_gender_gap_20_64
,,ES,2008,:,:,,empl_gender_gap_20_64
71,56.8,ES,2009,"","",14.2,empl_gender_gap_20_64
69.2,56.3,ES,2010,"","",12.9,empl_gender_gap_20_64
67.7,56.1,ES,2011,"","",11.6,empl_gender_gap_20_64
64.6,54.6,ES,2012,"","",10,empl_gender_gap_20_64
63.4,53.8,ES,2013,"","",9.6,empl_gender_gap_20_64
65,54.8,ES,2014,"","",10.2,empl_gender_gap_20_64
67.6,56.4,ES,2015,"","",11.2,empl_gender_gap_20_64
69.6,58.1,ES,2016,"","",11.5,empl_gender_gap_20_64
71.5,59.6,ES,2017,"","",11.9,empl_gender_gap_20_64
73.1,61,ES,2018,"","",12.1,empl_gender_gap_20_64
74,62.1,ES,2019,"","",11.9,empl_gender_gap_20_64
71.4,60,ES,2020,"","",11.4,empl_gender_gap_20_64
72.9,62.1,ES,2021, d, d,10.8,empl_gender_gap_20_64
74.9,63.7,ES,2022, d, d,11.2,empl_gender_gap_20_64
75.7,65.4,ES,2023, d, d,10.3,empl_gender_gap_20_64
76.3,66.5,ES,2024, d, d,9.8,empl_gender_gap_20_64
,,EU27_2020,2003,:,:,,empl_gender_gap_20_64
,,EU27_2020,2004,:,:,,empl_gender_gap_20_64
,,EU27_2020,2005,:,:,,empl_gender_gap_20_64
,,EU27_2020,2006,:,:,,empl_gender_gap_20_64
,,EU27_2020,2007,:,:,,empl_gender_gap_20_64
,,EU27_2020,2008,:,:,,empl_gender_gap_20_64
74,60.6,EU27_2020,2009,"","",13.4,empl_gender_gap_20_64
73.4,60.7,EU27_2020,2010,"","",12.7,empl_gender_gap_20_64
73.4,60.9,EU27_2020,2011,"","",12.5,empl_gender_gap_20_64
72.8,61,EU27_2020,2012,"","",11.8,empl_gender_gap_20_64
72.4,61.2,EU27_2020,2013,"","",11.2,empl_gender_gap_20_64
73.1,62,EU27_2020,2014,"","",11.1,empl_gender_gap_20_64
74.1,63,EU27_2020,2015,"","",11.1,empl_gender_gap_20_64
75.2,64.1,EU27_2020,2016,"","",11.1,empl_gender_gap_20_64
76.5,65.2,EU27_2020,2017,"","",11.3,empl_gender_gap_20_64
77.6,66.3,EU27_2020,2018,"","",11.3,empl_gender_gap_20_64
78.4,67.1,EU27_2020,2019,"","",11.3,empl_gender_gap_20_64
77.2,66.2,EU27_2020,2020,"","",11,empl_gender_gap_20_64
78.5,67.6,EU27_2020,2021,"","",10.9,empl_gender_gap_20_64
79.9,69.2,EU27_2020,2022,"","",10.7,empl_gender_gap_20_64
80.4,70.2,EU27_2020,2023,"","",10.2,empl_gender_gap_20_64
80.8,70.8,EU27_2020,2024,"","",10,empl_gender_gap_20_64
,,FI,2003,:,:,,empl_gender_gap_20_64
,,FI,2004,:,:,,empl_gender_gap_20_64
,,FI,2005,:,:,,empl_gender_gap_20_64
,,FI,2006,:,:,,empl_gender_gap_20_64
,,FI,2007,:,:,,empl_gender_gap_20_64
,,FI,2008,:,:,,empl_gender_gap_20_64
73.7,71.5,FI,2009,"","",2.2,empl_gender_gap_20_64
73.4,70.3,FI,2010,"","",3.10000000000001,empl_gender_gap_20_64
74.6,70.7,FI,2011,"","",3.89999999999999,empl_gender_gap_20_64
74.6,71.3,FI,2012,"","",3.3,empl_gender_gap_20_64
73.9,71,FI,2013,"","",2.90000000000001,empl_gender_gap_20_64
73.2,71.2,FI,2014,"","",2,empl_gender_gap_20_64
72.8,70.7,FI,2015,"","",2.09999999999999,empl_gender_gap_20_64
74,70.8,FI,2016,"","",3.2,empl_gender_gap_20_64
75.1,71.3,FI,2017,"","",3.8,empl_gender_gap_20_64
77.2,73.4,FI,2018,"","",3.8,empl_gender_gap_20_64
77.8,74.5,FI,2019,"","",3.3,empl_gender_gap_20_64
77.1,73.8,FI,2020,"","",3.3,empl_gender_gap_20_64
77.8,75.8,FI,2021,"","",2,empl_gender_gap_20_64
79,77.8,FI,2022,"","",1.2,empl_gender_gap_20_64
78.3,78.1,FI,2023,"","",0.200000000000003,empl_gender_gap_20_64
77.3,76.6,FI,2024,"","",0.700000000000003,empl_gender_gap_20_64
75.7,64.6,FR,2003,"","",11.1,empl_gender_gap_20_64
75.4,64.6,FR,2004,"","",10.8,empl_gender_gap_20_64
75,64.8,FR,2005,"","",10.2,empl_gender_gap_20_64
74.7,65,FR,2006,"","",9.7,empl_gender_gap_20_64
74.7,65.9,FR,2007,"","",8.8,empl_gender_gap_20_64
75.2,66.5,FR,2008,"","",8.7,empl_gender_gap_20_64
73.9,65.9,FR,2009,"","",8,empl_gender_gap_20_64
73.7,65.8,FR,2010,"","",7.90000000000001,empl_gender_gap_20_64
73.7,65.6,FR,2011,"","",8.10000000000001,empl_gender_gap_20_64
73.6,66,FR,2012,"","",7.59999999999999,empl_gender_gap_20_64
73.3,66.4,FR,2013,"","",6.89999999999999,empl_gender_gap_20_64
73.1,67,FR,2014,"","",6.09999999999999,empl_gender_gap_20_64
73.3,67.4,FR,2015,"","",5.89999999999999,empl_gender_gap_20_64
73.8,67.7,FR,2016,"","",6.09999999999999,empl_gender_gap_20_64
74.7,68.1,FR,2017,"","",6.60000000000001,empl_gender_gap_20_64
75.3,68.9,FR,2018,"","",6.39999999999999,empl_gender_gap_20_64
75.3,69.4,FR,2019,"","",5.89999999999999,empl_gender_gap_20_64
75,69.3,FR,2020,"","",5.7,empl_gender_gap_20_64
76.4,70.2,FR,2021, d, d,6.2,empl_gender_gap_20_64
77,71.2,FR,2022, d, d,5.8,empl_gender_gap_20_64
77.2,71.7,FR,2023, d, d,5.5,empl_gender_gap_20_64
78.1,72.2,FR,2024, d, d,5.89999999999999,empl_gender_gap_20_64
,,HR,2003,:,:,,empl_gender_gap_20_64
,,HR,2004,:,:,,empl_gender_gap_20_64
,,HR,2005,:,:,,empl_gender_gap_20_64
,,HR,2006,:,:,,empl_gender_gap_20_64
,,HR,2007,:,:,,empl_gender_gap_20_64
,,HR,2008,:,:,,empl_gender_gap_20_64
70.5,58,HR,2009,"","",12.5,empl_gender_gap_20_64
67.9,56.4,HR,2010,"","",11.5,empl_gender_gap_20_64
66.1,53.6,HR,2011,"","",12.5,empl_gender_gap_20_64
63.6,52.6,HR,2012, b, b,11,empl_gender_gap_20_64
61.6,52.8,HR,2013,"","",8.8,empl_gender_gap_20_64
